time;face_valid;bpm
76422269;1;-11.9976
76422477;1;-11.811
76422558;1;-11.9617
76422644;1;-11.9024
76422726;1;-11.825
76422812;1;-11.8064
76422895;1;-11.8977
76422977;1;-11.8133
76423058;1;-11.8157
76423142;1;-11.7165
76423226;1;-11.8133
76423308;1;-11.8087
76423393;1;-11.7188
76423517;1;-11.9024
76423603;1;-11.9024
76423686;1;-11.9119
76423767;1;-11.9119
76423852;1;-11.9071
76423934;1;-11.9071
76424020;1;-11.9071
76424103;1;-11.9071
76424184;1;-11.9048
76424265;1;-11.9166
76424352;1;-11.818
76424431;1;-11.919
76424560;1;35.4191
76424641;1;35.454
76424727;1;59.0435
76424810;1;59.0319
76424891;1;59.0551
76424977;1;59.0551
76425061;1;59.0551
76425142;1;59.0435
76425228;1;47.2348
76425310;1;47.2255
76425393;1;47.2069
76425474;1;47.6474
76425596;1;47.272
76425684;1;35.44
76425769;1;35.4191
76425850;1;35.4331
76425934;1;35.4122
76426017;1;35.1562
76426097;1;35.7356
76426182;1;35.7427
76426268;1;35.7143
76426351;1;35.7001
76426518;1;35.4261
76426643;1;35.1494
76426725;1;35.7143
76426808;1;35.7143
76426890;1;35.7143
76426977;1;35.7143
76427060;1;35.693
76427143;1;35.7214
76427225;1;35.7285
76427309;1;35.7143
76427391;1;35.7427
76427557;1;35.4331
76427680;1;35.1425
76427766;1;35.7143
76427847;1;35.7498
76427932;1;35.7356
76428013;1;35.7427
76428100;1;35.7001
76428183;1;35.7072
76428266;1;35.7143
76428346;1;35.7285
76428432;1;35.7214
76428600;1;35.4122
76428723;1;35.1562
76428807;1;35.7143
76428891;1;35.7214
76428975;1;35.7072
76429057;1;35.7356
76429141;1;35.7285
76429224;1;35.7143
76429306;1;35.7072
76429388;1;35.7427
76429474;1;47.5907
76429640;1;47.2441
76429764;1;46.8476
76429845;1;59.5829
76429931;1;59.5238
76430014;1;71.4711
76430097;1;59.5711
76430179;1;47.6474
76430265;1;47.6474
76430348;1;59.5474
76430455;1;59.2651
76430514;1;-11.9048
76430680;1;-11.8017
76430805;1;-11.7165
76430887;1;-11.9119
76430973;1;-11.9071
76431055;1;-11.9095
76431136;1;-11.9071
76431220;1;-11.9095
76431306;1;-11.9095
76431390;1;-11.9071
76431452;1;-11.9546
76431597;1;-11.8133
76431678;1;-11.9166
76431764;1;-11.9071
76431888;1;-11.811
76431969;1;-11.8133
76432056;1;-11.8133
76440967;1;35.693
76441132;1;35.447
76441255;1;35.1631
76441338;1;35.7498
76441425;1;35.7356
76441507;1;35.7569
76441593;1;35.7001
76441675;1;35.7356
76441758;1;35.7285
76441842;1;35.7072
76441922;1;35.7214
76442008;1;35.7285
76442176;1;35.4052
76442300;1;35.1425
76442382;1;47.638
76442467;1;47.6474
76442549;1;47.6002
76442629;1;47.6569
76442758;1;47.2441
76442841;1;59.0551
76442924;1;47.2348
76443005;1;47.2627
76443088;1;47.2348
76443174;1;47.6474
76443259;1;47.6096
76443381;1;59.0435
76443462;1;59.09
76443549;1;70.8104
76443633;1;94.4324
76443714;1;59.0667
76443795;1;59.125
76443883;1;58.9855
76444048;1;-11.8064
76444133;1;-11.811
76444214;1;-11.9119
76444298;1;-11.9071
76444421;1;-11.8133
76444505;1;-11.8087
76444586;1;-11.8227
76444673;1;-11.8041
76444754;1;-11.8133
76444840;1;-11.8133
76444922;1;-11.8087
76445004;1;-11.8064
76445088;1;-11.8133
76445169;1;-11.8133
76445253;1;-11.9142
76445339;1;-11.9048
76445462;1;-11.818
76445543;1;-11.8227
76445629;1;-11.811
76445711;1;-11.8087
76445798;1;-11.8041
76445882;1;-11.7971
76446045;1;-11.8157
76446129;1;-11.8087
76446215;1;-11.8041
76446297;1;-11.9
76446380;1;-11.9
76446504;1;-11.8133
76446589;1;-11.8064
76446670;1;-11.818
76446755;1;-11.811
76446838;1;-11.811
76446920;1;-11.8157
76452123;1;59.5948
76452332;1;70.3262
76452462;1;59.0319
76452541;1;70.922
76452626;1;70.8941
76452709;1;70.8383
76452790;1;70.908
76452877;1;59.0667
76452960;1;59.0551
76453040;1;59.0435
76453124;1;59.0784
76453210;1;59.0087
76453295;1;59.512
76453377;1;59.4884
76453502;1;59.0435
76453581;1;59.1017
76453668;1;70.8383
76453752;1;70.8522
76453832;1;70.8801
76453921;1;70.7965
76453999;1;59.0784
76454085;1;59.0667
76454168;1;59.0435
76454250;1;59.0667
76454333;1;59.5474
76454419;1;59.4884
76454541;1;59.0551
76454623;1;59.0784
76454709;1;59.0087
76454793;1;59.0319
76454876;1;59.0319
76454960;1;59.0087
76455042;1;70.8522
76455123;1;70.8801
76455204;1;82.7749
76455288;1;94.5254
76455376;1;59.5356
76455459;1;59.5238
76455582;1;82.6772
76455668;1;106.236
76455747;1;106.383
76455833;1;70.8522
76455917;1;106.278
76455999;1;59.0784
76456083;1;47.2348
76456166;1;59.0551
76456250;1;-11.8041
76456331;1;-11.818
76456412;1;-11.919
76456501;1;-11.9048
76456625;1;-11.8087
76456706;1;-11.818
76456792;1;-11.8041
76456875;1;-11.8017
76456956;1;-11.8157
76457039;1;-11.8087
76457125;1;-11.8041
76457208;1;-11.7994
76457291;1;-11.8087
76457372;1;-11.9048
76457541;1;-11.8133
76457666;1;-11.7073
76457747;1;-11.9095
76457828;1;-11.9095
76457916;1;-11.9071
76457997;1;-11.9119
76458082;1;-11.9
76458162;1;-11.9095
76458249;1;-11.9071
76458330;1;-11.9166
76458457;1;-11.811
76458540;1;-11.9095
76458622;1;-11.9024
76458746;1;-11.8157
76458828;1;-11.8203
76458916;1;-11.8017
76458998;1;-11.818
76459081;1;-11.8064
76459163;1;-11.8157
76459246;1;-11.8157
76459331;1;-11.8087
76459412;1;-11.8133
76459496;1;-11.818
76459582;1;-11.9024
76459664;1;-11.9024
76459789;1;-11.811
76459873;1;-11.811
76459956;1;-11.811
76460036;1;-11.8203
76460121;1;-11.8133
76460202;1;-11.8133
76460286;1;-11.8064
76460372;1;-11.8017
76460454;1;-11.8157
76460537;1;-11.8157
76460619;1;-11.9119
76460707;1;-11.9071
76460830;1;-11.8041
76460912;1;-11.8133
76460997;1;-11.811
76461076;1;-11.818
76461164;1;-11.8087
