time;face_valid;mean;min;max
76422269;1;-11.9976;-11.9976;-11.9976
76423308;1;-11.8338;-11.9617;-11.7165
76424352;1;-11.8846;-11.9166;-11.7188
76425393;1;46.2421;-11.919;59.0551
76426518;1;37.5082;35.1562;47.6474
76427557;1;35.6399;35.1494;35.7427
76428600;1;35.6426;35.1425;35.7498
76429640;1;37.7966;35.1562;47.5907
76430680;1;44.3089;-11.9048;71.4711
76431764;1;-11.8891;-11.9546;-11.7165
76440967;1;0.0638295;-11.8133;35.693
76442008;1;35.6521;35.1631;35.7569
76443088;1;46.2838;35.1425;59.0551
76444133;1;48.3812;-11.811;94.4324
76445169;1;-11.828;-11.9119;-11.8041
76446215;1;-11.8281;-11.9142;-11.7971
76452123;1;-3.89786;-11.9;59.5948
76453124;1;64.9164;59.0319;70.922
76454168;1;63.0592;59.0087;70.8801
76455204;1;63.0687;59.0087;82.7749
76456250;1;69.9647;-11.8041;106.383
76457291;1;-11.8259;-11.919;-11.7994
76458330;1;-11.8815;-11.9166;-11.7073
76459331;1;-11.8296;-11.9095;-11.8017
76460372;1;-11.827;-11.9024;-11.8017
